	PO59	PO47	SD1	PO82	PO78	PO81	SD22	PO44	SD37	SD43	PO57	PO61	SD18	SD35	PO65	SD32	PO76	SD7	SD30	SD23	SD15	SD26	SD38	SD28	SD24	SD9	SD27	PO60	PO79	PO80	SD39	CLASS
40	2	0	24	0	0	0	2	2	4	2	0	0	9	7	1	6	0	5	9	3	9	0	5	4	2	3	5	0	0	1	0	0
41	4	6	11	0	0	0	4	2	2	6	0	0	4	7	1	7	0	7	1	0	4	2	4	2	1	0	4	0	0	2	3	1
42	6	0	8	0	0	0	3	0	2	7	0	0	3	4	0	6	0	4	4	2	5	2	2	3	2	4	2	0	0	1	4	0
43	0	6	33	0	0	0	2	0	4	3	0	0	6	7	0	6	0	5	6	2	2	1	2	4	2	4	3	0	0	0	3	0
44	5	0	3	0	0	0	3	2	0	6	0	0	5	5	1	6	0	7	0	2	5	3	5	4	3	0	2	0	0	1	3	0
45	3	6	38	0	0	0	2	2	4	4	0	0	6	7	1	5	0	5	5	3	5	1	4	5	3	3	1	0	0	1	1	1
46	3	0	36	0	0	0	3	1	3	3	0	0	5	6	1	6	0	5	5	3	3	1	3	5	2	3	2	0	0	1	2	0
47	3	5	38	0	0	0	2	2	5	4	0	0	5	8	1	5	0	4	8	0	8	2	4	5	7	5	2	0	0	1	0	0
48	0	5	39	0	0	0	6	0	2	5	0	0	4	6	0	5	0	4	5	1	4	3	4	4	3	3	2	0	0	0	3	0
49	2	0	33	0	0	0	3	1	3	3	0	0	7	8	1	5	0	4	4	6	6	1	4	6	0	5	1	0	0	1	2	0
50	0	6	33	0	0	0	3	0	6	3	0	0	7	9	0	7	0	2	9	4	3	2	3	7	3	5	0	0	0	0	0	0
51	3	0	25	0	0	0	4	2	5	1	0	0	4	8	1	6	0	5	7	2	3	4	3	3	3	4	1	0	0	1	2	0
52	3	0	20	0	0	0	3	0	3	2	0	0	6	8	0	7	0	4	9	2	3	1	3	6	4	3	1	0	0	1	3	0
53	2	0	11	0	0	0	0	1	4	6	0	0	3	7	1	3	0	7	1	4	4	0	3	5	1	2	2	0	0	2	2	0
54	4	6	33	0	0	0	3	2	0	3	0	0	7	8	1	8	2	6	1	3	6	2	2	6	4	3	1	0	0	1	7	0
55	4	6	39	0	0	0	6	2	0	5	0	0	5	6	1	6	0	5	2	3	9	4	4	5	0	3	0	0	0	1	5	0
56	0	5	11	0	0	0	4	0	3	6	0	0	1	9	0	8	0	5	8	3	1	1	5	7	2	4	1	0	0	0	2	0
57	4	0	12	0	0	0	5	2	2	7	0	0	4	5	1	9	0	6	0	2	6	3	4	4	1	3	2	0	1	1	4	1
58	0	0	35	0	0	0	4	0	5	5	0	0	6	7	0	8	0	4	7	1	2	1	3	4	4	2	4	0	0	0	2	0
59	1	0	30	0	0	0	4	2	2	2	0	0	5	7	1	4	0	4	2	1	5	2	2	3	2	4	4	0	0	1	2	0
60	0	6	30	0	0	0	5	0	5	2	0	0	3	5	0	5	0	5	9	2	1	2	3	4	1	2	3	0	0	0	2	0
61	3	6	36	0	0	0	2	0	3	3	0	0	6	7	0	5	0	4	4	4	4	2	4	4	2	4	2	0	0	1	2	0
62	0	0	34	0	0	0	5	0	0	6	0	0	3	5	0	5	0	4	2	2	4	1	2	4	1	5	3	0	0	0	3	0
63	0	0	23	0	0	0	7	0	4	3	0	0	2	9	0	7	0	2	9	0	0	5	4	4	2	4	0	0	0	0	2	0
64	2	6	11	0	0	0	3	2	6	6	0	0	2	7	1	2	0	0	8	0	1	3	3	0	6	5	4	0	0	1	0	0
65	4	6	33	0	0	0	4	2	0	3	0	0	4	6	1	7	0	8	0	1	7	2	6	4	1	0	2	0	0	1	3	0
66	0	0	36	0	0	0	3	0	2	3	0	0	6	6	0	5	0	6	5	2	4	1	5	6	4	2	2	0	0	0	2	0
67	4	6	13	0	0	0	0	2	0	6	0	0	2	4	1	9	0	6	0	2	4	0	5	2	0	3	0	0	0	1	4	0
68	0	0	36	0	0	0	4	0	0	3	0	0	2	3	0	6	0	3	2	0	3	1	7	2	2	2	5	0	0	0	2	0
69	0	0	29	0	0	0	1	0	1	3	0	0	8	9	0	4	0	2	9	4	2	1	8	4	5	4	1	0	0	0	0	0
70	0	0	9	0	0	0	4	0	4	4	0	0	2	6	0	7	0	5	7	0	5	0	5	2	2	4	4	0	0	0	0	0
71	3	0	25	0	0	0	4	0	4	1	0	0	4	5	0	7	0	5	6	1	1	2	4	2	2	2	2	0	0	1	2	0
72	3	0	32	0	0	0	5	0	2	1	0	0	5	5	0	7	0	5	4	3	3	1	3	5	1	3	3	0	0	1	4	0
73	4	6	8	0	0	0	4	2	0	7	0	0	3	6	1	8	2	5	1	1	5	2	5	2	0	3	2	0	0	1	4	0
74	4	6	11	0	0	0	5	2	1	6	0	0	0	5	1	7	1	4	2	1	5	3	0	1	1	5	4	0	0	1	5	0
75	0	6	3	0	0	0	3	0	2	6	0	0	5	8	0	6	0	5	2	2	4	1	4	3	5	2	4	0	0	0	4	0
76	0	0	38	0	0	0	2	0	4	4	0	0	6	6	0	6	0	4	8	2	3	1	4	5	5	3	2	0	0	0	1	0
77	3	0	11	0	0	0	1	2	0	6	0	0	0	4	1	8	0	6	9	4	1	4	5	0	0	2	0	0	0	1	4	0
78	0	0	3	0	0	0	1	0	3	6	0	0	3	4	0	9	0	3	0	1	2	1	3	1	3	4	1	0	0	0	4	0
79	0	6	13	0	0	0	6	0	1	6	0	0	3	8	0	7	0	4	1	1	5	3	3	3	2	5	4	0	0	0	6	0
80	4	0	3	0	0	0	6	2	0	6	0	0	5	7	1	7	0	6	2	1	4	2	5	3	3	3	2	0	0	1	4	0
81	0	6	3	0	0	0	2	0	5	6	0	0	9	5	0	6	0	4	5	2	0	0	5	4	1	4	5	0	0	0	0	0
82	0	6	1	0	0	0	3	2	1	8	0	0	2	1	1	7	0	0	0	1	5	2	0	2	0	3	1	0	0	0	3	0
83	3	0	41	0	0	0	4	0	0	4	0	0	6	7	0	7	0	6	2	2	5	2	4	5	4	2	2	0	0	1	5	0
84	0	6	23	0	0	0	4	0	4	3	0	0	5	8	0	4	0	2	9	3	3	1	2	6	3	6	2	0	0	0	4	0
85	4	6	38	0	0	0	3	2	3	4	0	0	5	7	1	4	0	5	5	2	4	2	5	3	3	3	2	0	0	1	1	0
86	1	0	1	0	0	0	2	2	3	8	0	0	5	3	1	6	0	7	0	2	4	1	3	3	0	2	3	0	0	1	3	0
87	4	6	39	0	0	0	3	2	0	5	0	0	4	7	1	9	0	0	0	5	6	0	5	5	0	5	3	0	0	1	4	0
88	0	0	36	0	0	0	4	0	4	3	0	0	2	5	0	5	0	6	9	1	2	3	3	3	3	2	3	0	0	0	3	0
89	2	0	38	0	0	0	3	2	0	4	0	0	8	8	1	7	0	4	3	6	3	1	7	8	0	4	1	0	0	1	2	0
90	0	0	9	0	0	0	4	0	0	4	0	0	3	8	0	6	0	4	0	2	5	0	6	3	3	5	4	0	0	0	0	0
91	4	6	8	0	0	0	2	2	0	7	0	0	0	4	1	9	0	5	0	0	8	0	0	0	0	4	2	0	0	1	9	0
92	4	0	3	0	0	0	4	2	0	6	0	0	5	7	1	7	0	6	3	2	4	3	4	4	4	2	2	0	0	1	5	0
93	1	5	26	0	0	0	2	2	2	1	0	0	7	9	1	3	0	4	8	4	1	1	5	5	2	4	4	0	0	1	2	0
94	4	6	39	0	0	0	3	1	1	5	0	0	2	7	1	7	0	7	6	3	2	2	3	4	3	0	3	0	0	2	3	0
95	0	0	11	0	0	0	2	0	0	6	0	0	5	5	0	6	0	8	3	2	5	1	0	3	1	1	4	0	0	0	7	0
96	4	6	39	0	1	0	4	0	3	5	2	0	9	9	0	9	2	4	6	5	3	0	4	9	0	5	0	0	0	1	3	0
97	0	0	9	0	0	0	5	0	0	4	0	0	0	4	0	8	0	6	9	1	4	8	5	0	0	2	0	0	0	0	4	1
98	0	0	36	0	0	0	3	0	2	3	0	0	4	5	0	5	0	4	2	1	3	1	5	4	4	2	4	0	0	0	3	1
99	2	0	24	0	0	0	3	2	5	2	0	0	5	6	1	7	0	4	8	1	2	1	3	4	5	2	3	0	0	1	1	0
100	0	5	33	0	0	0	2	0	3	3	0	0	8	7	0	6	0	4	3	6	7	1	5	5	2	5	1	0	0	0	2	0
101	0	0	1	0	0	0	4	0	0	8	0	0	0	3	0	6	0	6	0	2	5	2	6	0	0	2	4	0	0	0	3	0
102	3	0	33	0	0	0	4	2	0	3	0	0	4	6	1	7	0	8	0	1	7	2	6	4	1	0	2	0	0	1	3	0
103	4	5	11	0	0	0	2	2	3	6	0	0	4	5	1	4	0	4	0	0	3	2	5	0	4	0	0	0	0	1	1	0
104	0	6	37	0	0	0	0	0	2	4	0	0	4	5	0	7	0	6	2	2	6	0	2	3	3	2	2	0	0	0	3	0
105	2	6	24	0	0	0	0	2	5	2	0	0	9	8	1	5	0	3	9	4	6	0	4	4	5	6	0	0	0	1	0	0
106	0	5	2	0	0	0	0	0	0	6	0	0	0	5	0	6	0	4	4	0	4	0	0	0	0	4	0	0	0	0	9	0
107	2	0	23	0	0	0	2	2	2	4	0	0	2	2	1	7	0	3	6	2	4	2	3	2	2	4	1	0	0	1	3	0
108	3	6	37	0	0	0	7	0	4	4	0	0	4	9	0	7	0	4	7	0	2	5	5	4	2	4	0	0	0	1	0	0
109	4	6	36	0	0	0	0	2	0	3	0	0	9	7	1	6	0	4	9	5	9	0	4	5	4	3	0	0	0	1	5	0
110	0	0	8	0	0	0	5	2	1	7	0	0	2	6	1	8	0	5	1	2	7	2	3	2	1	2	3	0	0	0	4	0
111	1	0	23	0	0	0	4	2	5	3	0	0	4	9	1	5	0	5	9	2	2	2	2	4	2	5	2	0	0	1	3	0
112	0	6	33	0	0	0	2	0	2	3	0	0	6	6	0	4	0	7	0	5	4	1	5	5	2	2	2	0	0	0	3	0
113	0	6	34	0	0	0	3	0	0	6	0	0	0	0	0	6	0	4	8	0	5	2	4	0	3	3	4	0	0	0	4	0
114	0	0	33	0	0	0	4	0	0	3	0	0	5	6	0	7	0	7	0	2	4	1	5	4	2	2	3	0	0	0	4	0
115	0	6	22	0	0	0	4	0	7	3	0	0	5	8	0	1	0	2	8	1	2	2	2	4	0	4	1	0	0	0	1	0
116	4	6	34	0	0	0	3	2	2	6	0	0	6	8	1	7	0	5	2	3	4	1	5	5	2	2	2	0	0	1	2	0
117	3	0	33	0	0	0	3	0	0	3	0	0	5	9	0	5	0	2	8	5	4	2	0	7	2	6	0	0	0	1	9	0
118	0	0	8	0	1	0	6	2	0	7	2	0	0	7	1	6	0	4	0	3	3	6	0	3	0	4	0	0	0	0	9	0
119	0	6	33	0	0	0	0	0	6	3	0	0	6	7	0	3	0	9	4	3	4	0	2	7	5	0	0	0	0	0	2	0
120	1	0	37	0	0	0	2	0	5	5	0	0	7	7	0	7	0	3	6	3	3	2	3	7	4	3	1	0	0	1	1	0
121	0	6	35	0	0	0	0	0	0	5	0	0	9	7	0	6	0	4	9	5	9	0	4	5	4	3	0	0	0	0	5	0
122	5	0	34	0	0	0	2	0	0	6	0	0	7	9	0	5	0	7	2	4	5	0	5	5	2	2	4	0	0	1	4	0
123	0	6	9	0	0	0	3	0	1	4	0	0	6	9	0	6	0	5	8	4	5	3	5	5	2	4	1	0	0	0	3	0
124	4	6	10	0	0	0	5	2	0	8	0	0	2	9	1	6	0	3	0	0	6	5	4	2	2	6	0	0	0	1	5	0
125	0	6	30	0	0	0	0	0	6	2	0	0	7	9	0	5	0	4	9	5	2	0	3	6	4	5	0	0	0	0	0	0
126	0	6	36	0	0	0	4	2	3	3	0	0	3	5	1	7	0	5	5	1	1	3	3	2	2	2	3	0	0	0	3	0
127	4	6	3	0	0	0	2	2	0	6	0	0	0	3	1	5	0	4	0	0	3	2	3	0	1	2	0	0	0	1	6	1
128	2	6	25	0	0	0	4	2	5	1	0	0	4	8	1	6	0	5	7	2	3	4	3	3	3	4	1	0	0	1	2	0
129	0	6	23	0	0	0	3	0	6	3	0	0	2	8	0	5	0	4	8	2	2	3	2	4	4	3	3	0	0	0	1	0
130	0	0	8	2	0	0	5	0	1	7	0	4	2	4	0	9	0	5	0	2	7	3	2	2	1	1	3	0	0	0	7	0
131	0	6	37	0	0	0	3	0	3	4	0	0	5	6	0	7	0	5	4	1	1	1	4	3	4	3	2	0	0	0	3	0
132	0	5	38	0	0	0	2	0	5	4	0	0	7	8	0	4	0	1	8	4	4	1	4	5	4	6	1	0	0	0	1	0
133	0	0	8	0	0	0	4	0	5	7	0	0	4	6	0	7	0	6	2	0	5	0	2	4	0	2	0	0	0	0	0	0
134	0	0	7	0	0	0	6	0	0	6	0	0	0	6	0	6	0	0	0	0	5	2	3	0	0	9	4	0	0	0	6	0
135	3	0	29	0	0	0	4	2	3	3	0	0	5	7	1	5	0	6	3	2	3	2	2	3	2	3	4	0	0	1	3	0
136	3	6	33	0	0	0	1	2	3	3	0	0	7	7	1	4	0	4	2	4	4	1	3	5	2	3	2	0	0	1	3	0
137	0	0	33	0	0	0	2	2	3	3	0	0	6	7	1	5	0	5	2	4	5	1	3	5	3	4	3	0	0	0	3	0
138	2	0	1	0	0	0	2	1	3	8	0	0	5	3	1	6	0	7	0	2	4	1	3	3	0	2	3	0	0	1	3	0
139	0	0	13	0	0	0	2	0	0	6	0	0	2	2	0	7	0	0	0	2	3	2	3	2	1	5	0	0	0	0	3	0
140	2	0	26	0	0	0	3	2	3	1	0	0	3	5	1	5	0	4	8	3	1	2	3	4	3	4	3	0	0	1	3	0
141	0	6	13	0	0	0	4	0	2	6	0	0	2	5	0	6	0	5	1	2	5	3	4	2	1	3	2	0	0	0	4	0
142	4	0	34	0	0	0	4	2	0	6	0	0	3	5	1	6	0	2	0	3	6	4	1	4	2	7	2	0	0	1	6	0
143	3	0	38	0	0	0	4	2	4	4	0	0	0	6	1	7	0	4	2	4	7	1	2	3	1	4	5	0	0	1	4	0
144	0	5	33	0	0	0	1	0	1	3	0	0	8	7	0	5	0	1	9	6	8	1	6	5	3	5	0	0	0	0	3	0
145	0	0	33	0	0	0	1	0	3	3	0	0	8	9	0	7	0	5	9	5	8	1	6	7	4	4	1	0	0	0	1	0
146	0	0	31	0	0	0	3	0	2	1	0	0	6	9	0	7	0	2	9	3	7	2	5	7	4	4	0	0	0	0	3	0
147	0	0	8	0	0	0	2	0	0	7	0	0	2	2	0	5	0	3	0	0	6	1	2	2	1	2	1	0	0	0	4	0
148	6	0	40	0	0	0	3	0	1	3	0	0	3	9	0	6	0	1	0	0	8	1	6	0	0	3	6	0	2	1	3	0
149	0	6	8	0	0	0	4	0	0	7	0	0	3	6	0	8	0	5	1	1	5	2	5	2	0	3	2	0	0	0	4	1
150	0	0	8	0	0	0	4	0	1	7	0	0	1	5	0	7	0	5	1	1	6	3	3	2	2	3	2	0	0	0	5	1
151	3	0	3	0	0	0	2	0	2	6	0	0	1	3	0	7	0	4	6	0	2	0	4	2	1	5	2	0	0	1	4	0
152	0	0	38	0	0	0	2	0	6	4	0	0	6	7	0	7	0	3	9	2	7	1	3	7	6	4	1	0	0	0	1	0
153	2	6	12	0	0	0	4	0	4	7	0	0	2	6	0	7	0	3	4	0	7	1	5	2	4	5	6	0	0	1	1	0
154	0	0	10	0	0	0	5	0	2	8	0	0	2	5	0	9	0	5	1	2	7	4	4	2	1	4	2	0	0	0	4	0
155	3	0	37	0	0	0	3	0	2	4	0	0	5	7	0	4	0	4	3	3	2	1	3	3	2	4	3	0	0	1	1	0
156	4	6	10	0	0	0	5	2	3	8	0	0	3	5	1	9	0	3	1	3	8	3	2	3	1	1	3	0	0	1	4	0
157	4	0	35	0	0	0	3	0	1	5	0	0	6	7	0	7	0	6	2	2	5	2	4	4	3	3	3	0	0	1	4	0
158	0	5	32	0	0	0	4	0	8	1	0	0	7	9	0	7	0	4	9	0	2	1	1	3	5	3	1	0	0	0	1	0
159	2	5	39	0	0	0	6	0	2	5	0	0	4	6	0	5	0	4	5	1	4	3	4	4	3	3	2	0	0	1	3	0
160	0	5	24	0	0	0	2	2	4	2	0	0	6	6	1	6	0	4	8	2	3	1	4	5	5	3	2	0	0	0	1	0
161	2	7	9	0	0	0	3	2	2	4	0	0	7	7	1	6	0	3	9	3	4	1	3	7	2	4	1	0	0	1	2	0
162	0	5	31	0	0	0	0	0	3	1	0	0	8	9	0	6	0	2	6	2	6	0	6	3	4	5	2	0	0	0	0	0
163	0	0	40	0	0	0	0	0	0	3	0	0	3	6	0	6	0	4	0	0	6	2	1	1	3	4	3	0	0	0	8	0
164	6	6	41	0	1	0	0	0	2	4	3	0	5	5	0	7	0	5	4	4	6	0	2	5	3	4	2	0	0	2	3	0
165	4	5	39	0	0	0	1	0	7	5	0	0	8	7	0	4	0	4	8	0	4	0	2	2	7	5	2	0	0	1	0	0
166	2	0	38	0	0	0	2	0	2	3	0	0	6	5	0	6	0	4	2	2	3	2	5	3	1	4	3	0	0	1	2	0
167	0	5	37	0	0	0	2	0	4	5	0	0	3	7	0	4	0	0	2	0	2	2	2	3	4	0	3	0	0	0	3	0
168	3	0	35	0	0	0	3	0	0	5	0	0	5	8	0	6	0	4	5	3	5	4	0	5	0	5	0	0	0	1	4	0
169	0	5	9	0	0	0	3	0	2	4	0	0	6	9	0	7	0	6	8	2	7	1	3	5	4	3	3	0	0	0	4	0
170	0	0	9	0	0	0	2	0	3	4	0	0	5	8	0	6	0	4	8	3	4	1	4	4	4	5	3	0	0	0	2	0
171	4	6	11	0	0	0	2	2	3	6	0	0	4	5	1	4	0	4	0	0	3	2	5	0	4	0	0	0	0	1	1	0
172	5	6	41	0	0	0	2	0	2	4	0	0	7	5	0	8	0	5	1	1	3	1	4	3	2	2	4	0	0	1	3	0
173	4	0	33	0	0	0	3	2	0	3	0	0	7	8	1	8	0	6	1	3	6	2	2	6	4	3	1	0	0	1	7	0
174	3	0	34	0	0	0	5	0	2	6	0	0	5	9	0	8	0	7	4	1	5	1	5	4	4	2	5	0	0	1	2	1
175	4	6	29	0	0	0	3	2	0	3	0	0	7	7	1	5	0	4	1	3	6	0	7	5	3	4	2	0	0	1	2	0
176	3	0	9	0	0	0	4	2	1	4	0	0	3	4	1	5	0	2	9	2	5	3	3	3	2	4	2	0	0	1	5	0
177	0	0	8	0	0	0	4	0	0	7	0	0	1	2	0	7	0	4	0	2	5	3	1	2	2	4	3	0	0	0	6	0
178	1	6	33	0	0	0	2	0	4	3	0	0	8	8	0	6	0	6	8	2	8	0	4	6	5	1	1	0	0	1	2	0
179	6	6	41	1	0	0	2	0	3	4	0	1	5	6	0	5	0	7	2	3	5	1	4	4	1	3	3	0	0	1	4	1
180	3	0	10	0	0	0	3	0	0	8	0	0	2	5	0	6	0	2	0	2	6	2	3	3	1	6	2	0	0	1	4	0
181	3	0	9	0	0	0	3	2	2	4	0	0	4	5	1	7	0	3	5	2	5	1	5	3	2	6	3	0	0	1	2	0
182	4	6	10	0	0	0	4	2	2	8	0	0	5	5	1	7	0	5	3	5	6	0	7	5	0	4	4	0	0	1	0	0
183	4	6	3	0	0	0	5	2	0	6	0	0	0	7	1	7	0	6	5	0	4	0	9	3	4	3	6	0	0	1	0	0
184	0	6	33	0	0	0	1	0	3	3	0	0	7	7	0	4	0	4	2	4	4	1	3	5	2	3	2	0	0	0	3	0
185	1	0	25	0	0	0	3	2	5	1	0	0	5	6	1	1	0	2	8	0	1	1	3	3	5	4	3	0	0	1	1	0
186	0	0	38	0	0	0	7	0	0	4	0	0	3	7	0	9	0	2	4	0	7	3	7	3	2	5	4	0	0	0	0	0
187	4	6	38	0	0	0	2	2	3	3	0	0	4	5	1	7	0	4	3	3	4	1	2	3	1	5	3	0	0	1	3	0
188	5	0	41	0	0	0	2	0	3	4	0	0	4	5	0	6	0	4	4	2	4	2	3	3	1	4	3	0	0	1	3	0
189	0	0	13	0	0	0	4	0	1	6	0	0	2	6	0	7	0	4	6	2	5	2	3	2	2	4	3	0	0	0	5	0
190	2	0	33	0	0	0	1	2	1	3	0	0	3	7	1	7	0	7	2	4	3	1	3	2	4	0	5	0	0	1	4	0
191	0	6	33	0	0	0	3	0	0	3	0	0	5	7	0	5	0	3	9	5	8	2	3	4	2	3	1	0	0	0	3	0
192	0	6	31	0	0	0	2	0	5	1	0	0	9	9	0	7	0	2	9	4	3	0	4	7	4	7	0	0	0	0	0	0
193	0	6	2	0	0	0	2	0	3	6	0	0	6	7	0	6	0	5	4	4	4	1	5	5	2	3	2	0	0	0	2	0
194	0	6	36	0	0	0	2	0	3	3	0	0	9	9	0	7	0	7	9	7	5	0	4	9	0	2	0	0	0	0	2	1
195	0	6	39	0	0	0	0	0	3	5	0	0	4	7	0	6	0	6	0	5	4	0	4	9	4	2	0	0	0	0	3	0
196	2	0	9	0	0	0	7	0	4	4	0	0	2	9	0	9	0	5	9	0	3	3	5	2	2	4	5	0	0	1	0	0
197	0	0	39	0	0	0	0	0	0	5	0	0	6	5	0	9	0	5	5	6	6	0	9	9	3	3	0	0	0	0	0	0
198	0	0	35	0	0	0	3	0	2	5	0	0	6	8	0	7	0	5	2	3	4	1	5	5	2	2	2	0	0	0	2	0
199	0	5	33	0	0	0	7	2	2	3	0	0	4	6	1	7	0	5	3	0	3	3	4	4	0	3	2	0	0	0	4	0
200	0	0	22	0	0	0	3	0	2	2	0	0	5	7	0	7	0	3	8	2	4	1	6	5	3	6	2	0	0	0	2	0
201	0	6	35	0	0	0	0	0	5	5	0	0	6	7	0	3	0	9	0	3	3	0	0	5	5	0	0	0	0	0	4	0
202	0	6	10	0	0	0	1	2	0	8	0	0	2	2	1	7	0	4	0	1	4	2	2	2	3	4	5	0	0	0	5	0
203	3	6	38	0	0	0	2	0	3	5	0	0	2	6	0	6	0	0	6	2	8	1	2	2	3	7	5	0	0	1	4	1
204	3	5	12	0	0	0	2	0	0	7	0	0	4	7	0	9	0	7	4	5	8	0	4	5	0	0	3	0	0	1	5	0
205	3	0	9	0	0	0	4	0	0	4	0	0	1	8	0	6	0	4	0	2	4	0	8	4	3	5	5	0	0	1	0	0
206	4	8	24	1	0	0	4	0	2	2	0	4	3	6	0	6	0	4	0	0	3	1	4	2	0	3	5	0	0	1	3	0
207	0	0	11	0	0	0	4	0	5	6	0	0	5	7	0	5	0	4	2	3	2	3	3	3	1	5	3	0	0	0	2	0
